candidate,r1_active_percent,r1_count,r1_transfer
NIKKI FORTUNATO BAS,53.903,11310.0,
KENZIE DONTE SMITH,6.429,1349.0,
ABEL GUILLÉN,39.667,8323.0,
exhaust,0.0,57.0,
colsum,99.999,21039.0,
