candidate,r1_active_percent,r1_count,r1_transfer
Ahimsa Porter Sumchai,2.38,3445.0,
George Davis,0.46,666.0,
Gavin Newsom,73.513,106395.0,
Harold M. Hoogasian,5.883,8515.0,
Grasshopper Alec Kaplan,1.012,1465.0,
H. Brown,0.642,929.0,
writeIns,0.019,27.0,
John Rinaldi,1.766,2556.0,
Lonnie S. Holmes,1.264,1830.0,
Michael Powers,0.368,533.0,
Wilma Pang,5.1,7381.0,
Josh Wolf,1.254,1815.0,
Quintin Mecke,6.338,9173.0,
exhaust,0.0,499.0,
colsum,99.999,145229.0,
