candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer
Matt Drake,3.785,679.0,9,3.845,688.0,37,4.06,725.0,105,4.669,830.0,39,4.925,869.0,78
George Dias,1.282,230.0,1,1.291,231.0,-231,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Viliam Dugovic,1.895,340.0,8,1.945,348.0,10,2.005,358.0,-358,0.0,0.0,0,0.0,0.0,0
"Manuel Jimenez, Jr.",1.767,317.0,11,1.833,328.0,47,2.1,375.0,24,2.244,399.0,-399,0.0,0.0,0
Robert Jordan,0.697,125.0,-125,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Chris Daly,48.749,8746.0,17,48.972,8763.0,40,49.303,8803.0,68,49.899,8871.0,97,50.822,8968.0,98
Davy Jones,2.168,389.0,13,2.247,402.0,19,2.358,421.0,42,2.604,463.0,43,2.868,506.0,-506
Rob Black,39.658,7115.0,19,39.868,7134.0,39,40.174,7173.0,42,40.584,7215.0,88,41.386,7303.0,107
exhaust,0.0,0.0,47,0.0,47.0,39,0.0,86.0,77,0.0,163.0,132,0.0,295.0,223
colsum,100.001,17941.0,0,100.001,17941.0,0,100.0,17941.0,0,100.0,17941.0,0,100.001,17941.0,0
