candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer
DARRYL MOORE,39.745,2837.0,446.0,48.753,3283.0,
CHERYL DAVILA,31.031,2215.0,1236.0,51.247,3451.0,
NANCI IRA ARMSTRONG-TEMPLE,29.224,2086.0,-2086.0,0.0,0.0,
exhaust,0.0,17.0,404.0,0.0,421.0,
colsum,100.0,7155.0,0.0,100.0,7155.0,
