candidate,r1_percent,r1_count,r1_transfer
LYNETTE GIBSON MCELHANEY,56.534,13147.0,4210
NONI D. SESSION,43.466,10108.0,-10108
exhaust,0.0,0.0,5898
colsum,100.0,23255.0,0
