candidate,r1_percent,r1_count,r1_transfer
JACQUELYN MCCORMICK,11.355,6026.0,3
KRISS WORTHINGTON,21.735,11534.0,1
TOM BATES,54.067,28692.0,1
BERNT RAINER WAHL,4.393,2331.0,0
KAHLIL ''DA MAYOR'' JACOBS-FANTAUZZI,4.259,2260.0,1
ZACHARY RUNNINGWOLF,3.812,2023.0,4
MARK SCHWARTZ,0.021,11.0,-11
writeIns,0.358,190.0,0
exhaust,0.0,0.0,1
colsum,100.00000000000001,53067.0,0
