candidate,r1_percent,r1_count,r1_transfer
KEN HOUSTON,1.664,2640.0,67
PETER YUAN LIU,0.735,1166.0,32
NANCY SIDEBOTHAM,1.113,1766.0,52
LIBBY SCHAAF,53.274,84502.0,82
JESSE A.J. SMITH,0.468,743.0,-743
CAT BROOKS,25.697,40760.0,98
CEDRIC A. TROUPE,0.711,1128.0,71
PAMELA PRICE,13.109,20794.0,139
MARCHON TATMON,1.333,2114.0,21
SAIED KARAMOOZ,1.894,3005.0,51
exhaust,0.0,0.0,130
colsum,99.998,158618.0,0
