candidate,r1_active_percent,r1_count,r1_transfer
writeIns,0.601,68.0,
Linea Palmisano,83.173,9411.0,
Bob Reuer,16.226,1836.0,
exhaust,0.0,0.0,
colsum,100.0,11315.0,
