candidate,r1_active_percent,r1_count,r1_transfer
Lisa Goodman,52.266,4751.0,
Janne Flisrand,31.177,2834.0,
Joe Kovacs,6.623,602.0,
writeIns,0.154,14.0,
Teqen Zéa-Aida,9.78,889.0,
exhaust,0.0,0.0,
colsum,100.0,9090.0,
