candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer
LORI DROSTE,29.172,1318.0,296.0,36.791,1614.0,458.0,50.194,2072.0,
GEORGE BEIER,26.516,1198.0,275.0,33.576,1473.0,583.0,49.806,2056.0,
MIKE ALVAREZ COHEN,25.786,1165.0,135.0,29.633,1300.0,-1300.0,0.0,0.0,
JACQUELYN MCCORMICK,18.526,837.0,-837.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,17.0,131.0,0.0,148.0,259.0,0.0,407.0,
colsum,100.0,4535.0,0.0,99.99999999999999,4535.0,0.0,100.0,4535.0,
