candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer
ROSIE TORRES,35.971,4786.0,364,39.768,5150.0,1127,51.091,6277.0,2760
HUBER TRENADO,37.136,4941.0,584,42.664,5525.0,484,48.909,6009.0,-6009
MIKE HASSID,10.943,1456.0,-1456,0.0,0.0,0,0.0,0.0,0
MIKE HUTCHINSON,15.949,2122.0,153,17.568,2275.0,-2275,0.0,0.0,0
exhaust,0.0,0.0,355,0.0,355.0,664,0.0,1019.0,3249
colsum,99.999,13305.0,0,100.0,13305.0,0,100.0,13305.0,0
