candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer
TESSA ABEYTA STUVE,43.149,970.0,32.0,45.196,1002.0,149.0,55.125,1151.0,
"JACK L VALENCIA, JR",16.593,373.0,22.0,17.817,395.0,-395.0,0.0,0.0,
JASON D ESTRADA,5.427,122.0,-122.0,0.0,0.0,0.0,0.0,0.0,
PHILIP A VANVEEN,34.831,783.0,37.0,36.987,820.0,117.0,44.875,937.0,
exhaust,0.0,5.0,31.0,0.0,36.0,129.0,0.0,165.0,
colsum,100.00000000000001,2253.0,0.0,100.0,2253.0,0.0,100.0,2253.0,
