candidate,r1_percent,r1_count,r1_transfer
COURTNEY RUBY,65.35,87759.0,27423
BRENDA ROBERTS,34.65,46532.0,-46532
exhaust,0.0,0.0,19109
colsum,100.0,134291.0,0
