candidate,r1_active_percent,r1_count,r1_transfer
MAXINE OLIVER-BENSON,29.519,6875.0,
CORINA N. LOPEZ,70.481,16415.0,
exhaust,0.0,47.0,
colsum,100.0,23337.0,
