candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer
"Hall, Robert Lee, Sr.",0.467,75.0,4.0,0.492,79.0,0.0,0.492,79.0,2.0,0.505,81.0,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Reeves, Kenneth E.",7.511,1207.0,35.0,7.729,1242.0,1.0,7.74,1243.0,0.0,7.743,1243.0,12.0,7.824,1255.0,10.0,7.895,1265.0,8.0,7.959,1273.0,0.0,7.959,1273.0,57.0,8.328,1330.0,4.0,8.389,1334.0,42.0,8.687,1376.0,9.0,8.744,1385.0,4.0,8.769,1389.0,83.0,9.452,1472.0,104.0,10.12,1576.0,43.0,10.396,1619.0,6.0,10.435,1625.0,-17.0,10.326,1608.0,0.0,10.775,1608.0,
"Condit, James E., III",0.261,42.0,0.0,0.261,42.0,0.0,0.262,42.0,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Decker, Marjorie C.",9.484,1524.0,31.0,9.676,1555.0,2.0,9.695,1557.0,4.0,9.724,1561.0,2.0,9.744,1563.0,6.0,9.792,1569.0,4.0,9.834,1573.0,1.0,9.841,1574.0,24.0,10.006,1598.0,5.0,10.08,1603.0,96.0,10.727,1699.0,-91.0,10.152,1608.0,0.0,10.152,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.775,1608.0,
"Sullivan, Michael A.",9.11,1464.0,122.0,9.869,1586.0,0.0,9.876,1586.0,3.0,9.898,1589.0,7.0,9.95,1596.0,8.0,10.011,1604.0,13.0,10.109,1617.0,-9.0,10.053,1608.0,0.0,10.068,1608.0,0.0,10.112,1608.0,0.0,10.152,1608.0,0.0,10.152,1608.0,0.0,10.152,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.775,1608.0,
"Gordon, Jesse A.",3.895,626.0,11.0,3.964,637.0,1.0,3.973,638.0,3.0,3.993,641.0,5.0,4.027,646.0,6.0,4.069,652.0,22.0,4.214,674.0,0.0,4.214,674.0,15.0,4.314,689.0,28.0,4.509,717.0,-717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Davis, Henrietta",9.079,1459.0,23.0,9.222,1482.0,0.0,9.228,1482.0,5.0,9.263,1487.0,3.0,9.289,1490.0,11.0,9.368,1501.0,6.0,9.422,1507.0,0.0,9.422,1507.0,22.0,9.574,1529.0,10.0,9.678,1539.0,78.0,10.209,1617.0,34.0,10.424,1651.0,-43.0,10.152,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.775,1608.0,
"Kelley, Craig A.",6.484,1042.0,12.0,6.559,1054.0,0.0,6.563,1054.0,0.0,6.566,1054.0,5.0,6.602,1059.0,15.0,6.703,1074.0,13.0,6.796,1087.0,1.0,6.802,1088.0,25.0,6.969,1113.0,53.0,7.332,1166.0,106.0,8.031,1272.0,5.0,8.062,1277.0,2.0,8.075,1279.0,67.0,8.643,1346.0,27.0,8.817,1373.0,8.0,8.868,1381.0,5.0,8.9,1386.0,10.0,8.964,1396.0,663.0,13.797,2059.0,
"Green, Andre Lerone",1.126,181.0,4.0,1.151,185.0,1.0,1.158,186.0,2.0,1.171,188.0,6.0,1.209,194.0,5.0,1.242,199.0,-199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Hees, Bill",1.232,198.0,1.0,1.238,199.0,0.0,1.239,199.0,5.0,1.271,204.0,7.0,1.315,211.0,7.0,1.361,218.0,55.0,1.707,273.0,0.0,1.707,273.0,5.0,1.741,278.0,-278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
