candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer
Julie Anderson,49.915,76634.0,65.0,50.103,76699.0,
writeIns,0.376,578.0,-578.0,0.0,0.0,
Jan Shabro,41.255,63338.0,35.0,41.398,63373.0,
Will Baker,8.453,12978.0,32.0,8.499,13010.0,
exhaust,0.0,0.0,446.0,0.0,446.0,
colsum,99.999,153528.0,0.0,100.0,153528.0,
