candidate,r1_active_percent,r1_count,r1_transfer
SAIED KARAMOOZ,1.894,3005.0,
LIBBY SCHAAF,53.274,84502.0,
PETER YUAN LIU,0.735,1166.0,
MARCHON TATMON,1.333,2114.0,
JESSE A.J. SMITH,0.468,743.0,
CEDRIC A. TROUPE,0.711,1128.0,
KEN HOUSTON,1.664,2640.0,
CAT BROOKS,25.697,40760.0,
PAMELA PRICE,13.109,20794.0,
NANCY SIDEBOTHAM,1.113,1766.0,
exhaust,0.0,1222.0,
colsum,99.99799999999999,159840.0,
