candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer
NAYELI MAXSON,16.202,4086.0,113,16.781,4199.0,96,17.341,4295.0,157,18.202,4452.0,542,21.437,4994.0,-4994,0.0,0.0,0.0
CHARLIE MICHELSON,11.035,2783.0,79,11.437,2862.0,72,11.846,2934.0,195,12.793,3129.0,-3129,0.0,0.0,0,0.0,0.0,0.0
JOSEPH TANIOS,2.772,699.0,-699,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
JOSEPH E. SIMMONS,3.704,934.0,45,3.912,979.0,-979,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
PAM HARRIS,27.063,6825.0,95,27.655,6920.0,347,29.34,7267.0,421,31.432,7688.0,603,35.59,8291.0,1669,45.907,9960.0,-9960
SHENG THAO,34.696,8750.0,105,35.387,8855.0,144,36.333,8999.0,191,37.573,9190.0,821,42.973,10011.0,1725,54.093,11736.0,4233
MATT HUMMEL,4.528,1142.0,66,4.828,1208.0,65,5.14,1273.0,-1273,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
exhaust,0.0,0.0,196,0.0,196.0,255,0.0,451.0,309,0.0,760.0,1163,0.0,1923.0,1600,0.0,3523.0,5727
colsum,100.0,25219.0,0,100.0,25219.0,0,100.0,25219.0,0,100.0,25219.0,0,100.0,25219.0,0,100.0,25219.0,0.0
