Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),84288,2.444013382687927,3.0
Bob Sullentrop,1657,2.4218467109233557,3
Charlie Casserly,3752,2.3472814498933903,3.0
Devin Hogan,6239,2.6042635037666293,3
Jonathan Honerbrink,2613,2.367393800229621,3
Latrisha Vetaw,18510,2.5126418152350083,3.0
Londel French,12399,2.536091620291959,3
Meg Forney,19002,2.287180296810862,3.0
Mike Derus,10670,2.332708528584817,3.0
Russ Henry,9053,2.613829669722744,3
Scott Vreeland,3,3.0,3
writeIns,390,1.9743589743589745,2.0
