,Amy Klobuchar,Andrew Yang,Bernie Sanders,Deval Patrick,Elizabeth Warren,Joseph R. Biden,Michael R.,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Uncommitted
first_choice,0.23,1.28,27.80,0.03,5.06,58.87,1.80,1.05,0.10,3.06,0.73
Amy Klobuchar,,1.89,0.44,0.00,5.49,6.39,2.29,10.71,0.00,2.27,0.00
Andrew Yang,3.12,,6.98,33.33,4.34,2.82,2.75,7.86,28.57,9.71,4.35
Bernie Sanders,12.50,30.82,,33.33,49.13,42.84,13.30,12.86,14.29,41.75,21.74
Deval Patrick,3.12,1.89,0.03,,0.00,0.05,0.00,0.00,0.00,0.32,0.00
Elizabeth Warren,18.75,23.90,34.68,0.00,,19.90,6.88,12.14,14.29,4.53,4.35
Joseph R. Biden,37.50,16.98,41.49,33.33,33.67,,61.01,46.43,14.29,23.30,47.83
Michael R.,3.12,2.52,1.35,0.00,1.45,14.09,,5.71,28.57,11.33,13.04
Pete Buttigieg,18.75,6.92,1.38,0.00,4.05,7.70,7.80,,0.00,1.94,0.00
Tom Steyer,0.00,3.77,0.37,0.00,0.72,0.53,1.83,0.71,,0.97,0.00
Tulsi Gabbard,3.12,10.06,9.17,0.00,0.87,2.82,3.67,3.57,0.00,,8.70
Uncommitted,0.00,1.26,4.11,0.00,0.29,2.87,0.46,0.00,0.00,3.88,
