,Amy Klobuchar,Andrew Yang,Bernie Sanders,Deval Patrick,Elizabeth Warren,Joseph R. Biden,Michael R.,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Uncommitted
first_choice,0.27,0.97,30.81,0.03,4.83,56.02,1.32,0.89,0.10,3.94,0.83
Amy Klobuchar,,2.65,0.43,9.09,6.51,3.49,3.04,12.54,2.94,1.53,0.00
Andrew Yang,5.38,,3.76,18.18,2.96,1.12,3.48,7.07,11.76,5.37,0.69
Bernie Sanders,5.38,26.18,,18.18,44.70,22.83,11.30,10.93,20.59,28.54,5.15
Deval Patrick,2.15,0.88,0.03,,0.06,0.06,0.00,0.32,0.00,0.29,0.00
Elizabeth Warren,25.81,17.35,23.07,9.09,,9.61,5.43,12.54,14.71,4.50,1.72
Joseph R. Biden,26.88,15.88,29.95,27.27,32.15,,45.87,37.62,20.59,17.43,7.90
Michael R.,2.15,1.76,0.74,0.00,1.36,5.14,,5.14,20.59,5.37,1.72
Pete Buttigieg,18.28,7.35,1.21,9.09,4.56,4.01,7.39,,0.00,1.74,0.00
Tom Steyer,0.00,2.06,0.34,0.00,0.77,0.33,1.52,0.64,,0.58,0.00
Tulsi Gabbard,6.45,11.47,10.03,0.00,1.24,2.22,4.35,3.86,0.00,,1.37
Uncommitted,0.00,2.06,2.19,0.00,0.53,1.29,0.65,0.32,2.94,3.05,
exhaust,7.53,12.35,28.25,9.09,5.15,49.91,16.96,9.00,5.88,31.59,81.44
