candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer,r10_percent,r10_count,r10_transfer,r11_percent,r11_count,r11_transfer,r12_percent,r12_count,r12_transfer,r13_percent,r13_count,r13_transfer,r14_percent,r14_count,r14_transfer,r15_percent,r15_count,r15_transfer,r16_percent,r16_count,r16_transfer,r17_percent,r17_count,r17_transfer,r18_percent,r18_count,r18_transfer,r19_percent,r19_count,r19_transfer,r20_percent,r20_count,r20_transfer
"Decker, Marjorie C.",8.054,1285.0,19.0,8.173,1304.0,17.0,8.28,1321.0,10.0,8.342,1331.0,1.0,8.356,1332.0,1.0,8.365,1333.0,1.0,8.376,1334.0,2.0,8.397,1336.0,4.0,8.43,1340.0,1.0,8.451,1341.0,4.0,8.49,1345.0,23.0,8.657,1368.0,13.0,8.778,1381.0,14.0,8.928,1395.0,44.0,9.299,1439.0,3.0,9.318,1442.0,71.0,9.917,1513.0,19.0,10.041,1532.0,10.0,10.107,1542.0,76.0,11.211,1618.0,
"Marquardt, Charles J.",2.413,385.0,3.0,2.432,388.0,1.0,2.438,389.0,3.0,2.457,392.0,1.0,2.465,393.0,1.0,2.472,394.0,1.0,2.48,395.0,5.0,2.514,400.0,7.0,2.56,407.0,6.0,2.603,413.0,10.0,2.67,423.0,29.0,2.86,452.0,20.0,3.0,472.0,-472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Flanagan, Mark F.",0.702,112.0,3.0,0.721,115.0,3.0,0.74,118.0,5.0,0.771,123.0,1.0,0.778,124.0,0.0,0.778,124.0,5.0,0.81,129.0,4.0,0.836,133.0,10.0,0.9,143.0,-143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Cheung, Leland",4.738,756.0,11.0,4.807,767.0,8.0,4.857,775.0,5.0,4.889,780.0,3.0,4.912,783.0,2.0,4.926,785.0,7.0,4.973,792.0,8.0,5.028,800.0,15.0,5.127,815.0,15.0,5.231,830.0,18.0,5.353,848.0,37.0,5.6,885.0,43.0,5.898,928.0,73.0,6.406,1001.0,187.0,7.677,1188.0,9.0,7.735,1197.0,99.0,8.494,1296.0,10.0,8.56,1306.0,15.0,8.658,1321.0,182.0,10.414,1503.0,
"Moree, Gregg J.",0.295,47.0,0.0,0.295,47.0,0.0,0.295,47.0,0.0,0.295,47.0,0.0,0.295,47.0,-47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Reeves, Kenneth E.",7.308,1166.0,17.0,7.415,1183.0,85.0,7.947,1268.0,26.0,8.11,1294.0,4.0,8.143,1298.0,4.0,8.17,1302.0,8.0,8.225,1310.0,10.0,8.296,1320.0,30.0,8.493,1350.0,13.0,8.59,1363.0,9.0,8.66,1372.0,26.0,8.846,1398.0,14.0,8.975,1412.0,22.0,9.178,1434.0,52.0,9.603,1486.0,3.0,9.622,1489.0,222.0,11.215,1711.0,-115.0,10.461,1596.0,0.0,10.461,1596.0,0.0,11.059,1596.0,
"Williamson, James M.",0.564,90.0,0.0,0.564,90.0,2.0,0.577,92.0,0.0,0.577,92.0,0.0,0.577,92.0,0.0,0.577,92.0,-92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Seidel, Sam",5.641,900.0,23.0,5.785,923.0,22.0,5.923,945.0,9.0,5.979,954.0,0.0,5.985,954.0,2.0,5.999,956.0,6.0,6.04,962.0,6.0,6.084,968.0,3.0,6.108,971.0,5.0,6.151,976.0,19.0,6.28,995.0,32.0,6.499,1027.0,95.0,7.132,1122.0,35.0,7.405,1157.0,145.0,8.414,1302.0,19.0,8.536,1321.0,207.0,10.015,1528.0,31.0,10.218,1559.0,27.0,10.395,1586.0,149.0,12.022,1735.0,
"Maher, David P.",8.06,1286.0,18.0,8.173,1304.0,16.0,8.273,1320.0,33.0,8.48,1353.0,1.0,8.494,1354.0,1.0,8.503,1355.0,1.0,8.514,1356.0,7.0,8.566,1363.0,1.0,8.581,1364.0,7.0,8.64,1371.0,12.0,8.729,1383.0,13.0,8.834,1396.0,37.0,9.108,1433.0,39.0,9.421,1472.0,43.0,9.79,1515.0,9.0,9.848,1524.0,141.0,10.913,1665.0,25.0,11.077,1690.0,-94.0,10.461,1596.0,0.0,11.059,1596.0,
"Davis, Henrietta",11.645,1858.0,-262.0,10.003,1596.0,0.0,10.003,1596.0,0.0,10.003,1596.0,0.0,10.013,1596.0,0.0,10.015,1596.0,0.0,10.021,1596.0,0.0,10.031,1596.0,0.0,10.04,1596.0,0.0,10.058,1596.0,0.0,10.074,1596.0,0.0,10.099,1596.0,0.0,10.144,1596.0,0.0,10.214,1596.0,0.0,10.313,1596.0,0.0,10.313,1596.0,0.0,10.461,1596.0,0.0,10.461,1596.0,0.0,10.461,1596.0,0.0,11.059,1596.0,
