Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,21086,2.334771886559803,3.0
DEAN CLARK,602,2.475083056478405,3.0
DEBRA WALKER,5669,2.358264244134768,3
ELAINE ZAMORA,637,2.405023547880691,3
FORTUNATE ''NATE'' PAYNE,150,2.5533333333333332,3.0
GEORGE DAVIS,158,2.449367088607595,3.0
GEORGE VAZHAPPALLY,242,2.541322314049587,3.0
GLENDON ''ANNA CONDA'' HYDE,692,2.5997109826589595,3.0
H. BROWN,182,2.489010989010989,3.0
JAMES KEYS,960,2.4583333333333335,3.0
JANE KIM,6621,2.25751397069929,3
JIM MEKO,407,2.5085995085995085,3
MATT ASHE,185,2.627027027027027,3
MATT DRAKE,947,2.412882787750792,3
THERESA SPARKS,3605,2.2374479889042997,3
writeIns,29,1.3103448275862069,1
