Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,11292,2.1820758058802694,3.0
ARACELY ''SHELLY'' GARZA,752,2.3297872340425534,3.0
DAWN MCMAHAN,2059,2.371053909664886,3
MARIO JUAREZ,3775,2.1231788079470197,2
NOEL GALLO,4633,2.130800777034319,2
writeIns,73,1.63013698630137,1
