Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,32086,1.8999875335037089,2.0
Carol Becker,16727,1.8479703473426197,2
David Wheeler,6107,2.0096610447028,2
DeWayne Townsend,2323,2.0654326302195436,2
James Elliot Swartwood,975,2.1138461538461537,2
Phil Willkie,2950,1.9633898305084745,2.0
R. Michael Martens,2778,1.7505399568034556,1.0
writeIns,226,1.1725663716814159,1.0
