Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,35109,2.6993648352274344,3
Andrew Sullivan,2477,2.684699232943076,3
Bill Barnes,1664,2.683293269230769,3.0
Brett Wheeler,832,2.735576923076923,3.0
Dan Kalb,1398,2.7496423462088697,3.0
Emmett Gilman,393,2.6386768447837152,3
Francis Somesel,368,2.6847826086956523,3.0
H. Brown,57,2.5789473684210527,3
Jim Siegel,1540,2.7240259740259742,3.0
Joseph Blue,802,2.4825436408977555,3.0
Julian Davis,418,2.626794258373206,3.0
Lisa Feldstein,3257,2.6914338348173166,3
Michael E. O'connor,868,2.6244239631336406,3.0
Nick Waugh,3025,2.613223140495868,3
Patrick M. Ciocca,91,2.681318681318681,3
Phillip House,62,2.4516129032258065,3.0
Phoenix Streets,657,2.721461187214612,3
Rob Anderson,336,2.693452380952381,3.0
Robert Haaland,5124,2.690085870413739,3.0
Ross Mirkarimi,9947,2.76073187895848,3
Susan C. King,977,2.692937563971341,3
Tys Sniffen,686,2.6370262390670556,3.0
Vivian Wilder,130,2.753846153846154,3.0
