Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,299132,2.2065008090073945,3.0
Calvin Goings,69052,2.3077535770144237,3.0
Mike Lonergan,45330,2.368916832120009,3.0
Pat McCarthy,79235,2.3599671862182117,3
Shawn Bunney,105057,1.9573660013135725,2
writeIns,458,1.462882096069869,1.0
