Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,15828,5.545741723527925,5.0
"Cheung, Leland",2016,6.065476190476191,5.0
"Davis, Henrietta",1435,5.952613240418119,5
"Decker, Marjorie C.",1122,5.908199643493761,5.0
"Kelley, Craig A.",1097,5.476754785779399,5
"Maher, David P.",1685,4.901483679525223,4
"Marquardt, Charles J.",499,5.470941883767535,4
"Mello, Gary W.",135,5.859259259259259,4
"Moree, Gregg J.",56,5.875,4.0
"Nelson, Matthew P.",542,6.007380073800738,5.0
"Pascual, Jamake",63,5.904761904761905,5
"Reeves, Kenneth E.",1011,5.312561819980218,4
"Seidel, Sam",788,5.799492385786802,5.0
"Simmons, E. Denise",1262,5.694928684627575,4.0
"Stohlman, Jr., Thomas J.",344,5.9854651162790695,5.0
"Toomey, Jr., Timothy J.",1701,4.309817754262198,3
"Ward, Larry W.",835,5.431137724550898,4
"Williamson, James M.",175,6.6971428571428575,6
"vanBeuzekom, Minka Y.",1038,6.088631984585742,5.0
writeIns,24,3.7083333333333335,1.0
