Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,31385,2.4668472200095586,3
ANDREW BLEY,825,2.704242424242424,3
F. X. FRANCIS XAVIER CROWLEY,7746,2.4544280919184094,3.0
GLENN ROGERS,597,2.69179229480737,3
JOEL ENGARDIO,4168,2.4990403071017275,3.0
JULIAN P. LAGOS,1091,2.7158570119156735,3
LYNN GAVIN,719,2.6815020862308763,3
MICHAEL GARCIA,5512,2.4698838896952107,3.0
NORMAN YEE,9182,2.364844260509693,3.0
ROBERT J. SQUERI,1545,2.548220064724919,3
