Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,14194,2.276595744680851,3.0
ALLEN SCHOENFELD,1928,2.2852697095435683,3.0
LEE THOMAS,7671,2.269065310911224,3
VICTOR AGUILAR,4595,2.2855277475516864,3
