Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,31639,2.5325389550870763,3
Art Belenson,510,2.552941176470588,3.0
Christine Linnenbach,6784,2.5681014150943398,3.0
David Parker,348,2.7126436781609193,3.0
Gregory Corrales,2560,2.566015625,3.0
Isaac Wang,2728,2.3574046920821115,3.0
Michael Patrick Mallen,975,2.634871794871795,3
Milton `Rennie` O`Brien,2372,2.6374367622259696,3.0
Pat Lakey,763,2.5596330275229358,3
Sean R. Elsbernd,10505,2.4654926225606855,3
Shawn Reifsteck,1108,2.6895306859205776,3.0
Sheela Kini,349,2.67621776504298,3
Svelana Kaff,546,2.5750915750915753,3.0
Vernon C. Grigg III,2091,2.6116690578670494,3
