Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,36655,2.2004637839312506,3
Annie Young,6941,2.2538539115401237,3
Bob Fine,8089,1.938434911608357,2
David Wahstedt,2807,1.7719985749910936,1
John Butler,1114,2.1149012567324954,3.0
John Erwin,6376,2.513801756587202,3.0
Mary Merrill Anderson,5394,2.3331479421579533,3.0
Nancy Bernard,2024,2.1897233201581026,3.0
Tom Nordyke,3716,2.3463401506996773,3.0
writeIns,194,1.2371134020618557,1.0
