Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,161323,1.000043391208941,1
"MANOHAR ""MANO"" RAJU",161318,1.0000433925538377,1.0
writeIns,5,1.0,1
