Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,101888,2.5938481469849246,3.0
BRYAN PARKER,7955,2.5406662476429918,3
CHARLES R. WILLIAMS,1052,2.3916349809885933,3.0
COURTNEY RUBY,3115,2.7142857142857144,3
DAN SIEGEL,13122,2.6383935375704923,3.0
ERIC WILSON,393,2.5368956743002546,3
JASON ANDERSON,1550,2.8419354838709676,3.0
JEAN QUAN,15808,2.3968876518218623,3.0
JOE TUMAN,12251,2.6590482409599216,3
KEN HOUSTON,518,2.451737451737452,3.0
LIBBY SCHAAF,30041,2.684464565094371,3
NANCY SIDEBOTHAM,267,2.539325842696629,3
PAT MCCULLOUGH,362,2.596685082872928,3.0
PETER LIU,464,2.502155172413793,3.0
REBECCA KAPLAN,14693,2.528687129925815,3
SAIED KARAMOOZ,264,2.647727272727273,3.0
SAMMUEL WASHINGTON,33,1.9696969696969697,2
