Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,16209,2.2282682460361527,3
DAN DILLMAN,2246,2.141585040071238,2.0
DIANA SOUZA,5950,2.2678991596638656,3.0
GREGG DALY,124,2.4838709677419355,3.0
PAULINE RUSSO CUTTER,7889,2.219039168462416,3
