Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,13985,4.922631390775831,3
ALEXANDER PAIGE FRESQUEZ,106,6.349056603773585,6.0
BEV COURTNEY,492,6.008130081300813,5.0
EUGENIA (GINA) MONTOYA ORTEGA,1147,5.445510026155188,4
GREGORY Z SMITH,1433,4.460572226099093,3
ISABELLA SOLIS,664,5.953313253012048,5.0
JESUSITA DOLORES LUCERO,426,5.748826291079812,4.0
JORGE SANCHEZ,210,6.271428571428571,7.5
KEN MIYAGISHIMA,5172,4.0794663573085845,3.0
MIKE A TELLEZ,1610,6.641614906832298,9.0
WILLIAM BILL MATTIACE,2725,4.794495412844037,3
