Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,158618,2.291303635148596,3.0
CAT BROOKS,40760,2.5646957801766437,3.0
CEDRIC A. TROUPE,1128,2.523936170212766,3.0
JESSE A.J. SMITH,743,2.5141318977119784,3
KEN HOUSTON,2640,2.349621212121212,3.0
LIBBY SCHAAF,84502,2.0821992378878607,2.0
MARCHON TATMON,2114,2.4389782403027436,3.0
NANCY SIDEBOTHAM,1766,2.30634201585504,3.0
PAMELA PRICE,20794,2.5005289987496395,3.0
PETER YUAN LIU,1166,2.258147512864494,3.0
SAIED KARAMOOZ,3005,2.7217970049916804,3
