Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,20716,2.1815987642402006,3.0
BENJAMIN LANG,5298,2.337297093242733,3.0
JUMOKE HINTON HODGE,9694,2.1088302042500517,2.0
RICHARD FUENTES,5547,2.185685956372814,3
writeIns,177,1.3785310734463276,1
