Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,27198,2.5240091183175233,3.0
CLAUDINE CHENG,2515,2.633797216699801,3
DAVID CHIU,10270,2.485491723466407,3.0
DENISE MCCARTHY,3172,2.6169609079445144,3.0
"JOSEPH ALIOTO, JR.",6285,2.451233094669849,3
LYNN JEFFERSON,1235,2.6696356275303645,3
MARK QUESSEY,204,2.627450980392157,3.0
MIKE DENUNZIO,1335,2.4299625468164794,3
TONY GANTNER,1195,2.609205020920502,3
WILMA PANG,952,2.6754201680672267,3.0
writeIns,35,1.4,1
