Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,153528,2.2059298629565944,3.0
Jan Shabro,63338,2.1733082825476018,3.0
Julie Anderson,76634,2.213221285591252,3.0
Will Baker,12978,2.358067498844198,3.0
writeIns,578,1.397923875432526,1.0
