Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,45157,1.776690214141772,1
Al Flowers,1795,2.3136490250696378,3
Bill McGaughey,232,2.331896551724138,3.0
Bob Carney Jr.,228,2.1096491228070176,2.0
Christopher Clark,1337,1.9738219895287958,2
Dick Franson,1579,2.1918936035465486,2
James R. Everett,357,2.3361344537815127,3
Joey Lombard,444,2.3175675675675675,3.0
John Charles Wilson,137,2.394160583941606,3
Papa John Kolstad,4953,2.0096910963052697,2
R.T. Rybak,33234,1.6487633146777396,1.0
Tom Fiske,650,2.5123076923076924,3.0
writeIns,211,1.8104265402843602,2
