Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,2025,2.5358024691358025,3
"Crafts, Lydia V.",1011,2.6063303659742827,3
"Levesque, David J.",273,2.600732600732601,3
"Pieh, Wendy",741,2.4156545209176787,3
