Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,144730,1.7898915221446832,1.0
Ahimsa Porter Sumchai,3445,2.4943396226415095,3
Gavin Newsom,106395,1.6058085436345693,1
George Davis,666,2.418918918918919,3.0
Grasshopper Alec Kaplan,1465,2.4921501706484643,3
H. Brown,929,2.411194833153929,3
Harold M. Hoogasian,8515,1.9085143863769818,2
John Rinaldi,2556,2.564945226917058,3.0
Josh Wolf,1815,2.515702479338843,3
Lonnie S. Holmes,1830,2.3081967213114756,3.0
Michael Powers,533,2.4596622889305815,3
Quintin Mecke,9173,2.592172680693339,3
Wilma Pang,7381,2.0811543151334506,2
writeIns,27,2.185185185185185,3
