Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,13615,5.5182519280205655,5
"Davis, Henrietta",1591,5.94343180389692,5
"Decker, Marjorie C.",1068,5.796816479400749,5.0
"Galluccio, Anthony D.",521,5.708253358925144,4
"Janik, Jonathan S.",260,6.038461538461538,5.0
"Kelley, Craig A.",1118,5.57871198568873,5.0
"Maher, David P.",1310,4.758778625954198,4.0
"Moore, M. Kevin",250,6.032,5.0
"Moree, Gregg J.",111,6.072072072072072,5
"Murphy, Brian",1159,5.369283865401208,5
"Podgers, Kathy",92,6.684782608695652,6.0
"Reeves, Kenneth E.",1216,5.761513157894737,5.0
"Seidel, Sam",1037,6.085824493731919,6
"Simmons, E. Denise",994,5.853118712273642,5.0
"Sullivan, Edward J.",829,4.685162846803378,4
"Toomey, Timothy J., Jr.",1336,4.767215568862276,4.0
"Ward, Larry W.",698,5.663323782234957,5.0
writeIns,25,4.32,3
