Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,251032,2.5448628063354475,3.0
AMY FARAH WEISS,1675,2.7838805970149254,3
ANGELA ALIOTO,17552,2.455161804922516,3.0
ELLEN LEE ZHOU,9576,2.538638262322473,3.0
JANE KIM,60738,2.740903552965195,3.0
LONDON BREED,92121,2.402752901075759,3
MARK LENO,61416,2.6137651426338415,3.0
MICHELLE BRAVO,900,2.5733333333333333,3.0
RICHIE GREENBERG,7051,2.283789533399518,3
writeIns,3,3.0,3
