Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,4184,2.398661567877629,3.0
CECILIA ''CES'' ROSALES,632,2.6202531645569622,3.0
GEORGE BEIER,1438,2.467315716272601,3.0
KRISS WORTHINGTON,2078,2.2930702598652553,3.0
writeIns,36,1.8611111111111112,2.0
