Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,317176,1.419987640931218,1.0
CARMEN CHU,236697,1.417356367000849,1
PAUL BELLAR,80479,1.4277264876551647,1
