Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,24673,2.457017792728894,3
A. JACKSON MATTESON,1,2.0,2
ADRIAN BERMUDEZ,415,2.539759036144578,3
AHSHA SAFAI,5965,2.4378876781223804,3
ELI M. HORN,394,2.3908629441624365,3.0
JOHN AVALOS,6964,2.4718552556002296,3.0
JULIO RAMOS,3646,2.5120680197476686,3.0
MARY GOODNATURE,459,2.6209150326797386,3
MYRNA LIM,4462,2.4013895114298522,3.0
RANDY KNOX,2337,2.4629867351305093,3
writeIns,30,1.1666666666666667,1.0
