Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,50345,1.3536001589035653,1
JENNY WONG,46337,1.3301681161922438,1
VLADISLAV S. DAVIDZON,4008,1.624500998003992,2.0
