Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,289904,2.1419607870191513,1.0
"Bond, Tiffany L.",16581,2.7377721488450635,3
"DEM Golden, Jared F.",132091,2.3729625788282322,2
"Hoar, William R.S.",6917,2.6296082116524504,3
"REP Poliquin, Bruce",134315,1.8161188251498344,1
