Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,31681,2.397051860736719,3
ANDY THORNLEY,360,2.6416666666666666,3.0
BRIAN J. LARKIN,747,2.6961178045515397,3
DAVID LEE,3402,2.5796590241034685,3.0
JASON JUNGREIS,612,2.723856209150327,3.0
JONATHAN LYENS,611,2.7054009819967266,3
MARJAN PHILHOUR,11099,2.392197495269844,3
RICHIE GREENBERG,980,2.554081632653061,3.0
SAMUEL KWONG,744,2.6760752688172045,3.0
SANDRA LEE FEWER,12568,2.2580362826225335,3.0
SHERMAN R. D'SILVA,558,2.609318996415771,3.0
