Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,17808,2.3897124887690926,3.0
ASHLEY H RHODES,260,2.4923076923076923,3.0
CHRIS JACKSON,1088,2.4871323529411766,3.0
DEWITT M. LACY,1274,2.587912087912088,3.0
DIANE WESLEY SMITH,399,2.3609022556390977,3
ED DONALDSON,202,2.4603960396039604,3.0
ELLSWORTH ''ELL'' JENNISON,68,2.661764705882353,3.0
ERIC SMITH,448,2.611607142857143,3.0
GEOFFREA MORRIS,333,2.24024024024024,3
JACKIE NORMAN,186,2.3118279569892475,3.0
JAMES M. CALLOWAY,417,2.4436450839328536,3
KRISTINE ENEA,544,2.5845588235294117,3.0
LYNETTE SWEET,2150,2.2665116279069766,3.0
M.J. MARIE FRANKLIN,81,2.691358024691358,3
MALIA COHEN,2097,2.351454458750596,3
MARLENE TRAN,2049,2.240117130307467,2
NYESE JOSHUA,135,2.5185185185185186,3
"RODNEY HAMPTON, JR.",237,2.4556962025316458,3
STEPHEN WEBER,311,2.3408360128617365,3
STEVE MOSS,1969,2.3946165566277298,3
TERESA DUQUE,1441,2.1464260929909784,2
TONY KELLY,2102,2.575642245480495,3.0
writeIns,17,1.7647058823529411,1
