Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,17833,6.082431447316773,5
"Benzan, Dennis A.",1158,5.7210708117443865,4.0
"Carlone, Dennis J.",998,6.445891783567134,6.0
"Cheung, Leland",1187,6.9208087615838245,6
"Connolly, Mike",841,6.820451843043995,6
"Courtney, Kim",72,7.125,5.0
"Davidson, Mariko",853,6.588511137162954,6
"Degoes, Jr., Plinio T.",51,7.882352941176471,7
"Devereux, Jan",1306,6.107963246554364,5.0
"Dietrich, Xavier",26,8.26923076923077,7.5
"Kelley, Craig A.",1433,5.769713886950454,5
"Levy, Ilan S.",153,7.235294117647059,7
"Maher, David P.",1637,5.640195479535736,5
"Mahoney, Jr., Paul F.",251,5.047808764940239,4
"Mazen, Nadeem A.",1929,5.859512700881286,5
"McGovern, Marc C.",1202,6.267054908485857,6.0
"Mello, Gary W.",117,6.64957264957265,6
"Moree, Gregg J.",77,6.194805194805195,4
"Sanzone, John",32,9.15625,7.0
"Simmons, E. Denise",1710,6.432163742690059,5.0
"Toomey, Jr., Timothy J.",1415,4.616961130742049,3
"Waite, Romaine",273,6.589743589743589,5
"Williamson, James M.",72,7.625,6.0
"vanBeuzekom, Minka Y.",1014,6.387573964497041,6.0
writeIns,26,4.461538461538462,1.0
