Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,79358,2.603896267547065,3.0
"ABDUL M RAHAMAN ""THE ROCK""",355,1.8056338028169014,1
ALICIA K. BENNETT,351,2.6096866096866096,3
BETSY HODGES,28956,2.7076944329327257,3.0
BILL KAHN,102,2.4019607843137254,3.0
"BOB ""AGAIN"" CARNEY JR",56,2.5357142857142856,3.0
BOB FINE,2096,2.7037213740458017,3.0
CAM WINTON,7528,2.469314558979809,3.0
CAPTAIN JACK SPARROW,265,2.7245283018867923,3
CHRISTOPHER CLARK,191,2.738219895287958,3
CHRISTOPHER ROBIN ZIMMERMAN,172,2.744186046511628,3.0
CYD GORMAN,39,2.5641025641025643,3
DAN COHEN,1806,2.622923588039867,3.0
DON SAMUELS,8344,2.710450623202301,3.0
DOUG MANN,779,2.839537869062901,3
EDMUND BERNARD BRUYERE,72,2.6527777777777777,3.0
GREGG A. IVERSON,146,2.452054794520548,3.0
JACKIE CHERRYHOMES,3542,2.632128740824393,3.0
"JAMES ""JIMMY"" L. STROUD, JR.",65,2.4307692307692306,3
JAMES EVERETT,348,2.7241379310344827,3.0
JAYMIE KELLY,196,2.7857142857142856,3.0
JEFFREY ALAN WAGNER,166,2.427710843373494,3.0
JOHN CHARLES WILSON,37,2.5675675675675675,3
JOHN LESLIE HARTWIG,97,2.5876288659793816,3
JOSHUA REA,109,2.5137614678899083,3
KURTIS W. HANNA,200,2.79,3.0
MARK ANDREW,19641,2.4567486380530523,3
MARK V ANDERSON,982,2.4124236252545823,3.0
MERRILL ANDERSON,109,2.522935779816514,3
MIKE GOULD,204,2.392156862745098,3.0
NEAL BAXTER,145,2.6482758620689655,3
OLE SAVIOR,695,2.1928057553956832,3
RAHN V. WORKCUFF,66,2.621212121212121,3.0
STEPHANIE WOODRUFF,1013,2.753208292201382,3
TONY LANE,219,2.8036529680365296,3
TROY BENJEGERDES,149,2.8187919463087248,3
writeIns,117,2.2222222222222223,3
