Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,13633,1.59796083033815,2
JENNIFER S. PAE,4604,1.6075152041702867,2.0
PATRICIA KERNIGHAN,8954,1.593477775295957,2.0
writeIns,75,1.5466666666666666,1
