Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,183487,2.25446489397069,3
BILL FAZIO,19252,2.228807396634116,3.0
DAVID ONEK,43398,2.382759574173925,3.0
GEORGE GASCÓN,76236,2.148997848785351,2.0
SHARMIN BOCK,38005,2.313721878700171,3
VU VUONG TRINH,6596,2.3627956337174045,3.0
