Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,183233,2.0383500788613405,2
CHRIS CUNNIE,51602,2.081430952288671,2.0
DAVID WONG,11360,2.298943661971831,3.0
PAUL MIYAMOTO,49814,2.2055847753643554,2.0
ROSS MIRKARIMI,70457,1.8465447010233191,2
