Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,126247,4.3193501627761455,4
"Cote, Adam Roland",35497,4.258895117897287,4
"Dion, Donna J.",1600,4.4325,4.0
"Dion, Mark N.",5208,4.491935483870968,4.0
"Eves, Mark W.",17897,4.5238308096329,4
"Mills, Janet T.",41765,4.075302286603615,3
"Russell, Diane Marie",2731,5.0494324423288175,6
"Sweet, Elizabeth A.",20792,4.648518661023471,4.0
writeIns,757,2.6829590488771466,1
