Ballots with first choice:,Number of Ballots,% of votes to Donald Trump Jr.,% of votes to Mike Pence,% of votes to Ted Cruz,% of votes to exhaust,percent_sum
Donald Trump Jr.,67.80432456000003,100.0,0.0,0.0,0.0,100.0
Ivanka Trump,43.974843073,36.69,30.96,20.1,12.25,99.99999999999999
Marco Rubio,33.933870211,7.88,27.39,31.97,32.77,99.99999999999999
Mike Pence,180.18782818899987,0.0,100.0,0.0,0.0,100.0
Nikki Haley,75.34221212200005,9.18,29.01,37.64,24.17,99.99999999999991
Ted Cruz,73.91934336400004,0.0,0.0,100.0,0.0,100.0
