Ballots with first choice:,Number of Ballots,% of votes to Adrienne Bennett,% of votes to Dale Crafts,% of votes to exhaust,percent_sum
Adrienne Bennett,150.14760789800008,100.0,0.0,0.0,100.0
Dale Crafts,225.54472530099986,0.0,100.0,0.0,100.0
Eric Brakey,112.87776446600007,33.38,39.91,26.71,99.99999999999996
