candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer
Bernie Sanders,30.813,10777.0,2.0,30.819,10779.0,7.0,30.841,10786.0,5.0,30.861,10791.0,15.0,31.116,10806.0,39.0,31.261,10845.0,104.0,31.624,10949.0,62.0,31.925,11011.0,449.0,33.844,11460.0,877.0,36.77,12337.0,
Amy Klobuchar,0.266,93.0,1.0,0.269,94.0,1.0,0.272,95.0,-95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Deval Patrick,0.031,11.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Uncommitted,0.832,291.0,0.0,0.832,291.0,1.0,0.835,292.0,0.0,0.835,292.0,-292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michael R.,1.315,460.0,0.0,1.315,460.0,7.0,1.335,467.0,3.0,1.344,470.0,5.0,1.368,475.0,18.0,1.421,493.0,12.0,1.459,505.0,-505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andrew Yang,0.972,340.0,2.0,0.978,342.0,4.0,0.989,346.0,5.0,1.004,351.0,2.0,1.016,353.0,27.0,1.095,380.0,-380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tulsi Gabbard,3.937,1377.0,0.0,3.937,1377.0,0.0,3.937,1377.0,7.0,3.958,1384.0,4.0,3.997,1388.0,15.0,4.044,1403.0,45.0,4.182,1448.0,27.0,4.277,1475.0,-1475.0,0.0,0.0,0.0,0.0,0.0,
Joseph R. Biden,56.018,19593.0,3.0,56.029,19596.0,7.0,56.052,19603.0,26.0,56.137,19629.0,23.0,56.588,19652.0,148.0,57.074,19800.0,79.0,57.417,19879.0,253.0,58.371,20132.0,318.0,60.394,20450.0,765.0,63.23,21215.0,
Pete Buttigieg,0.889,311.0,1.0,0.892,312.0,0.0,0.892,312.0,17.0,0.941,329.0,0.0,0.947,329.0,-329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tom Steyer,0.097,34.0,0.0,0.097,34.0,-34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Elizabeth Warren,4.829,1689.0,1.0,4.832,1690.0,5.0,4.847,1695.0,25.0,4.919,1720.0,5.0,4.967,1725.0,46.0,5.105,1771.0,70.0,5.317,1841.0,31.0,5.428,1872.0,79.0,5.762,1951.0,-1951.0,0.0,0.0,
exhaust,0.0,92.0,1.0,0.0,93.0,2.0,0.0,95.0,7.0,0.0,102.0,238.0,0.0,340.0,36.0,0.0,376.0,70.0,0.0,446.0,132.0,0.0,578.0,629.0,0.0,1207.0,309.0,0.0,1516.0,
colsum,99.99899999999998,35068.0,0.0,99.99999999999999,35068.0,0.0,99.99999999999999,35068.0,0.0,99.999,35068.0,0.0,99.99900000000001,35068.0,0.0,100.0,35068.0,0.0,99.999,35068.0,0.0,100.001,35068.0,0.0,100.0,35068.0,0.0,100.0,35068.0,
