W-P,First Choice,Second Choice,Third Choice,Count
2001-05-04,AL - POTTS,GUE,OLS,1.0
2001-05-02,ALVIN ROHRESBERG,GUE,OLS,1.0
2001-04-02,ASHLEY GAUSTOR,XXX,XXX,1.0
2001-03-08,BETTY BOOP,XXX,XXX,1.0
2001-03-09,BRYAN K. COLE,OLS,GUE,1.0
2001-05-08,BRYAN K. COLE,TERRA B. COLE,XXX,1.0
2001-05-01,CHANDRA SMITH,OLS,GUE,1.0
2001-05-08,CHANGE,XXX,XXX,1.0
2001-03-08,CINDY WEIVODA,GUE,XXX,1.0
2001-05-07,DAMON WARD,XXX,XXX,1.0
2001-05-02,DARIN JONES,XXX,XXX,1.0
2001-04-06,DAVE WALLSTADT,NIK LUDWIG,XXX,1.0
2001-03-07,DAVID HALLOWAY,XXX,XXX,1.0
2001-03-09,DAVID WAHLSTEDT,GRANT CERMAK,JULIUS JAGER,1.0
2001-04-07,DAVID WAHLSTEDT,XXX,XXX,1.0
2001-04-05,ERIC LE JAEN,XXX,XXX,1.0
2001-05-10,EZRA HYLAND,XXX,XXX,1.0
2001-05-08,FRENESHIU LUSTER,XXX,XXX,1.0
2001-04-06,GABE HELLER,XXX,XXX,1.0
2001-04-07,GEORGETTE PAQUETTE,XXX,XXX,1.0
2001-05-08,GUE,ANITA BONGHIT,DEALER MCDOPE,1.0
2001-04-02,GUE,ANNIE YOUNG,OLS,1.0
2001-04-06,GUE,BA-DO,OLS,1.0
2001-04-01,GUE,BOB FINE,JOHN ERWIN,1.0
2001-05-01,GUE,BRENT BENJAMIN BUNN,OLS,1.0
2001-04-04,GUE,DEBORAH NELSON,JOHN SULLIVAN,1.0
2001-05-01,GUE,IVAN - B,XXX,1.0
2001-04-10,GUE,JED BENSON,XXX,1.0
2001-04-01,GUE,JEFF JOHNSON,XXX,1.0
2001-04-04,GUE,JOE GAGNE,MICKEY MOUSE,1.0
2001-05-04,GUE,JOHN ERWIN,XXX,1.0
2001-04-08,GUE,KARL KRANTZ,XXX,1.0
2001-04-09,GUE,LEO T HALEY,OLS,1.0
2001-04-10,GUE,LOCAL SQUIRRELL,XXX,1.0
2001-05-02,GUE,LUKE BOYD,XXX,1.0
2001-05-01,GUE,MARK R. HONESBRINK,XXX,1.0
2001-05-03,GUE,MARY POPPINS,BATMAN,1.0
2001-03-08,GUE,MICHAEL FLOWERS,OLS,1.0
2001-05-01,GUE,NATALIE COLLINS,XXX,1.0
2001-05-03,GUE,NATALIE LEE,OLS,1.0
2001-05-01,GUE,NINE OF THE ABOVE,XXX,1.0
2001-05-09,GUE,NO,XXX,1.0
2001-05-04,GUE,OLS,ALICIA BENNETT,1.0
2001-04-08,GUE,OLS,ANTHONY BREUAR,1.0
2001-04-08,GUE,OLS,ANTHONY THOMSON,1.0
2001-05-10,GUE,OLS,BUCKWHEAT,1.0
2001-05-08,GUE,OLS,DAVID BUCKHALTEN,1.0
2001-05-10,GUE,OLS,EDWARD ASHTON,1.0
2001-05-05,GUE,OLS,ELLEN MARTEN,1.0
2001-05-04,GUE,OLS,FLOYD G. SMALLE,1.0
2001-05-05,GUE,OLS,FRED LOSO,1.0
2001-04-04,GUE,OLS,GLADYS HARRER,1.0
2001-05-01,GUE,OLS,IF ANY,1.0
2001-04-01,GUE,OLS,JEFF JOHNSON,1.0
2001-03-09,GUE,OLS,JOAN THOM,1.0
2001-04-08,GUE,OLS,JOHN DOE,1.0
2001-04-08,GUE,OLS,JOHN KLAPHAKE,1.0
2001-05-05,GUE,OLS,KARIM BILAC,1.0
2001-04-06,GUE,OLS,MARY MERRELL,1.0
2001-05-04,GUE,OLS,MICKEY MOUSE,1.0
2001-04-05,GUE,OLS,NO ONE,1.0
2001-05-05,GUE,OLS,PATRICE NEWBERGERE,1.0
2001-05-08,GUE,OLS,R.T. RYBAK,1.0
2001-03-07,GUE,OLS,ROBIN DIXON,1.0
2001-04-05,GUE,OLS,ROGER HARDY,1.0
2001-05-02,GUE,OLS,SANTA CLAUSE,1.0
2001-04-05,GUE,OLS,SCOTT A. FILLMAN,1.0
2001-07-07,GUE,OLS,SHAWN GEDOLE,1.0
2001-07-07,GUE,OLS,STEVE RANDELL,1.0
2001-05-05,GUE,OLS,TEDDY MUELLER,1.0
2001-05-03,GUE,OLS,VERNICE TATE,1.0
2001-03-07,GUE,OLS,XXX,19.0
2001-03-08,GUE,OLS,XXX,15.0
2001-03-09,GUE,OLS,XXX,11.0
2001-04-01,GUE,OLS,XXX,38.0
2001-04-02,GUE,OLS,XXX,22.0
2001-04-03,GUE,OLS,XXX,40.0
2001-04-04,GUE,OLS,XXX,75.0
2001-04-05,GUE,OLS,XXX,1.0
2001-04-05,GUE,OLS,XXX,2.0
2001-04-05,GUE,OLS,XXX,21.0
2001-04-06,GUE,OLS,XXX,1.0
2001-04-06,GUE,OLS,XXX,16.0
2001-04-06,GUE,OLS,XXX,20.0
2001-04-07,GUE,OLS,XXX,42.0
2001-04-08,GUE,OLS,XXX,21.0
2001-04-08,GUE,OLS,XXX,30.0
2001-04-08,GUE,OLS,XXX,61.0
2001-04-09,GUE,OLS,XXX,2.0
2001-04-09,GUE,OLS,XXX,46.0
2001-04-10,GUE,OLS,XXX,11.0
2001-05-01,GUE,OLS,XXX,66.0
2001-05-02,GUE,OLS,XXX,12.0
2001-05-03,GUE,OLS,XXX,38.0
2001-05-04,GUE,OLS,XXX,41.0
2001-05-05,GUE,OLS,XXX,42.0
2001-05-07,GUE,OLS,XXX,14.0
2001-05-08,GUE,OLS,XXX,15.0
2001-05-09,GUE,OLS,XXX,4.0
2001-05-10,GUE,OLS,XXX,19.0
2001-07-07,GUE,OLS,XXX,46.0
2001-03-09,GUE,OLS,ZEL MITZEL,1.0
2001-07-07,GUE,ROB NYGAARD,OLS,1.0
2001-05-09,GUE,SARAH MASLASKI,JOSH MASLOWSKI,1.0
2001-03-07,GUE,XXX,XXX,34.0
2001-03-08,GUE,XXX,XXX,20.0
2001-03-09,GUE,XXX,XXX,20.0
2001-04-01,GUE,XXX,XXX,100.0
2001-04-02,GUE,XXX,XXX,42.0
2001-04-03,GUE,XXX,XXX,48.0
2001-04-04,GUE,XXX,XXX,119.0
2001-04-05,GUE,XXX,XXX,1.0
2001-04-05,GUE,XXX,XXX,48.0
2001-04-06,GUE,XXX,XXX,39.0
2001-04-06,GUE,XXX,XXX,66.0
2001-04-07,GUE,XXX,XXX,92.0
2001-04-08,GUE,XXX,XXX,37.0
2001-04-09,GUE,XXX,XXX,49.0
2001-04-10,GUE,XXX,XXX,39.0
2001-05-01,GUE,XXX,XXX,100.0
2001-05-02,GUE,XXX,XXX,33.0
2001-05-03,GUE,XXX,XXX,63.0
2001-05-04,GUE,XXX,XXX,116.0
2001-05-05,GUE,XXX,XXX,82.0
2001-05-07,GUE,XXX,XXX,19.0
2001-05-08,GUE,XXX,XXX,28.0
2001-05-09,GUE,XXX,XXX,31.0
2001-05-10,GUE,XXX,XXX,22.0
2001-07-07,GUE,XXX,XXX,89.0
2001-05-01,GUE ,OLS,MOT,1.0
2001-04-10,JED BENSON,GUE,XXX,1.0
2001-04-01,JEFF JOHNSON,XXX,XXX,1.0
2001-04-01,JEFFREY J. JOHNSON,XXX,XXX,1.0
2001-07-07,JOHN GRUDNOWSKI,XXX,XXX,1.0
2001-03-09,M MURPHY,XXX,XXX,1.0
2001-05-10,MARQUE JENSEN,XXX,XXX,1.0
2001-05-08,MARY ANDERSON,XXX,XXX,1.0
2001-05-10,MICHAEL TEACHOUT,XXX,XXX,1.0
2001-05-08,MIKE TEACHOUT,XXX,XXX,2.0
2001-04-07,NATALIE JOHNSON LEE,XXX,XXX,1.0
2001-04-04,NOBODY,XXX,XXX,1.0
2001-05-03,NONE OF THESE,XXX,XXX,1.0
2001-05-04,OLS,ANNETTE DAVIS,XXX,1.0
2001-03-09,OLS,AQUAMAN,XXX,1.0
2001-04-03,OLS,BARNY,ELMO,1.0
2001-03-08,OLS,EDWARD ENSTROM,GUE,1.0
2001-05-04,OLS,GAIL EILY,JASON THOMPSON,1.0
2001-04-02,OLS,GUE,AMY POEHLER,1.0
2001-05-02,OLS,GUE,BARRY R. HOPPE,1.0
2001-05-01,OLS,GUE,BEV RYAN,1.0
2001-04-06,OLS,GUE,BILL AUSTIN,1.0
2001-04-03,OLS,GUE,BOB,1.0
2001-04-01,OLS,GUE,CHARLIE BROWN,1.0
2001-03-07,OLS,GUE,CHRIS MORRIS,1.0
2001-07-07,OLS,GUE,CHRISTINA BERGLUND,1.0
2001-04-09,OLS,GUE,DAVE DARLING,1.0
2001-04-01,OLS,GUE,DENISE HEDGES,1.0
2001-03-07,OLS,GUE,FRED LARSON,1.0
2001-03-07,OLS,GUE,GARY WILSON,2.0
2001-04-03,OLS,GUE,HELEN COLEMAN,1.0
2001-05-03,OLS,GUE,HOLY SPIRIT,1.0
2001-04-06,OLS,GUE,JAMES ROBINSON,1.0
2001-04-06,OLS,GUE,JANE SPRAGUE,1.0
2001-04-04,OLS,GUE,JANET EHLERS,1.0
2001-04-03,OLS,GUE,JAY ANDLER,1.0
2001-04-03,OLS,GUE,JEN STEFFEN,1.0
2001-04-04,OLS,GUE,JEREMY WARDEIN,1.0
2001-04-09,OLS,GUE,JOE SNOW,1.0
2001-04-06,OLS,GUE,JOE STUBBY,1.0
2001-04-08,OLS,GUE,JOHN DOE,1.0
2001-07-07,OLS,GUE,JONATHON BURRIS,1.0
2001-04-09,OLS,GUE,JOSH HODECK,1.0
2001-04-10,OLS,GUE,LISE POREMBTA,1.0
2001-04-07,OLS,GUE,LYNN KEILLOR,1.0
2001-07-07,OLS,GUE,MARCIA RICHLE,1.0
2001-03-07,OLS,GUE,MARCUS HARCUS,1.0
2001-05-01,OLS,GUE,MARQUIS HARRIS,1.0
2001-04-03,OLS,GUE,MATTHEW STINLEY,1.0
2001-04-09,OLS,GUE,ME,1.0
2001-04-09,OLS,GUE,MICKY MOUSE,1.0
2001-03-07,OLS,GUE,MIKE JACKSON,1.0
2001-04-08,OLS,GUE,NONE,1.0
2001-04-06,OLS,GUE,PAUL JAEGY,1.0
2001-05-03,OLS,GUE,RICHARD BLEDSOE,1.0
2001-04-06,OLS,GUE,RICK DOLL,1.0
2001-05-04,OLS,GUE,ROSS J. SCHMIDT,1.0
2001-05-01,OLS,GUE,SHARDELL DICKERSON,1.0
2001-05-05,OLS,GUE,STEVE,1.0
2001-04-01,OLS,GUE,TERRANCE WILLIAMS,1.0
2001-04-09,OLS,GUE,TERRY HALEY,1.0
2001-05-01,OLS,GUE,TOM E. COOK,1.0
2001-04-03,OLS,GUE,TOM FISKE,1.0
2001-05-10,OLS,GUE,TYRONE SMITH,1.0
2001-03-07,OLS,GUE,XXX,24.0
2001-03-08,OLS,GUE,XXX,17.0
2001-03-09,OLS,GUE,XXX,28.0
2001-04-01,OLS,GUE,XXX,52.0
2001-04-02,OLS,GUE,XXX,43.0
2001-04-03,OLS,GUE,XXX,51.0
2001-04-04,OLS,GUE,XXX,96.0
2001-04-05,OLS,GUE,XXX,1.0
2001-04-05,OLS,GUE,XXX,40.0
2001-04-06,OLS,GUE,XXX,17.0
2001-04-06,OLS,GUE,XXX,27.0
2001-04-07,OLS,GUE,XXX,57.0
2001-04-08,OLS,GUE,XXX,37.0
2001-04-09,OLS,GUE,XXX,50.0
2001-04-10,OLS,GUE,XXX,24.0
2001-05-01,OLS,GUE,XXX,65.0
2001-05-02,OLS,GUE,XXX,21.0
2001-05-03,OLS,GUE,XXX,30.0
2001-05-04,OLS,GUE,XXX,39.0
2001-05-05,OLS,GUE,XXX,1.0
2001-05-05,OLS,GUE,XXX,66.0
2001-05-07,OLS,GUE,XXX,14.0
2001-05-08,OLS,GUE,XXX,24.0
2001-05-09,OLS,GUE,XXX,3.0
2001-05-10,OLS,GUE,XXX,21.0
2001-07-07,OLS,GUE,XXX,34.0
2001-05-01,OLS,GUE ,RANDY MCKINNEY,1.0
2001-04-04,OLS,JASON GOETTSCH,XXX,1.0
2001-04-01,OLS,JEFF STRAND,XXX,1.0
2001-05-05,OLS,KEN PYLES,XXX,1.0
2001-03-07,OLS,LAVANCE DIXON,XXX,1.0
2001-04-01,OLS,LEAH GABRIELSON,XXX,1.0
2001-04-02,OLS,MARY B. BLOCKER,XXX,1.0
2001-05-02,OLS,MARY MERRILL ANDERSON,XXX,1.0
2001-05-08,OLS,MIKE ROSE,STEPHAINE FOX,1.0
2001-04-08,OLS,NONE,GUE,1.0
2001-05-10,OLS,SARAH KIEFER,XXX,1.0
2001-04-04,OLS,SUSAN QUIST,XXX,1.0
2001-05-01,OLS,SUSAN QUIST,XXX,1.0
2001-03-07,OLS,XXX,XXX,50.0
2001-03-08,OLS,XXX,XXX,43.0
2001-03-09,OLS,XXX,XXX,32.0
2001-04-01,OLS,XXX,XXX,172.0
2001-04-02,OLS,XXX,XXX,79.0
2001-04-03,OLS,XXX,XXX,143.0
2001-04-04,OLS,XXX,XXX,206.0
2001-04-05,OLS,XXX,XXX,66.0
2001-04-06,OLS,XXX,XXX,57.0
2001-04-06,OLS,XXX,XXX,73.0
2001-04-07,OLS,XXX,XXX,129.0
2001-04-08,OLS,XXX,XXX,131.0
2001-04-09,OLS,XXX,XXX,104.0
2001-04-10,OLS,XXX,XXX,60.0
2001-05-01,OLS,XXX,XXX,117.0
2001-05-02,OLS,XXX,XXX,53.0
2001-05-03,OLS,XXX,XXX,67.0
2001-05-04,OLS,XXX,XXX,85.0
2001-05-05,OLS,XXX,XXX,88.0
2001-05-07,OLS,XXX,XXX,33.0
2001-05-08,OLS,XXX,XXX,36.0
2001-05-09,OLS,XXX,XXX,8.0
2001-05-10,OLS,XXX,XXX,36.0
2001-07-07,OLS,XXX,XXX,59.0
2001-04-10,PETER DEMARIS,OLS,GUE,1.0
2001-04-10,PETER TEACHOVA,PETER DE MARIS,OLS,1.0
2001-05-04,QUINCY LEE BROWN,XXX,XXX,1.0
2001-05-05,RAS WOUTEN,XXX,XXX,1.0
2001-05-01,RODNEY WILSON,XXX,XXX,1.0
2001-05-01,SCOTTIE TATUM,OLS,GUE,1.0
2001-05-04,TERRICK SMITH,XXX,XXX,1.0
2001-03-07,THE ROCK BAND KISS,DONALD DUCK,MICKEY MOUSE,1.0
2001-04-06,THOMAS SOLHEIM,XXX,XXX,1.0
2001-05-03,TIM OOTHOODT,XXX,XXX,1.0
2001-03-07,XXX,XXX,XXX,18.0
2001-03-08,XXX,XXX,XXX,8.0
2001-03-09,XXX,XXX,XXX,16.0
2001-04-01,XXX,XXX,XXX,47.0
2001-04-02,XXX,XXX,XXX,31.0
2001-04-03,XXX,XXX,XXX,34.0
2001-04-04,XXX,XXX,XXX,58.0
2001-04-05,XXX,XXX,XXX,19.0
2001-04-06,XXX,XXX,XXX,20.0
2001-04-06,XXX,XXX,XXX,36.0
2001-04-07,XXX,XXX,XXX,43.0
2001-04-08,XXX,XXX,XXX,54.0
2001-04-09,XXX,XXX,XXX,38.0
2001-04-10,XXX,XXX,XXX,29.0
2001-05-01,XXX,XXX,XXX,39.0
2001-05-02,XXX,XXX,XXX,19.0
2001-05-03,XXX,XXX,XXX,54.0
2001-05-04,XXX,XXX,XXX,58.0
2001-05-05,XXX,XXX,XXX,14.0
2001-05-05,XXX,XXX,XXX,58.0
2001-05-07,XXX,XXX,XXX,25.0
2001-05-08,XXX,XXX,XXX,33.0
2001-05-09,XXX,XXX,XXX,12.0
2001-05-10,XXX,XXX,XXX,20.0
2001-07-07,XXX,XXX,XXX,61.0
