W-P,First Choice,Second Choice,Third Choice,Count
2001-09-01,SCH,BIC,EBE,9.0
2001-09-01,SCH,BIC,XXX,37.0
2001-09-01,SCH,BIC,JAM,12.0
2001-09-01,BIC,JAM,XXX,2.0
2001-09-01,BIC,JAM,EBE,2.0
2001-09-01,BIC,JAM,SCH,4.0
2001-09-01,BIC,SCH,JAM,13.0
2001-09-01,BIC,SCH,EBE,1.0
2001-09-01,BIC,SCH,XXX,11.0
2001-09-01,BIC,XXX,XXX,17.0
2001-09-01,BIC,EBE,JAM,4.0
2001-09-01,BIC,EBE,XXX,1.0
2001-09-01,BIC,EBE,SCH,5.0
2001-09-01,XXX,XXX,XXX,1.0
2001-09-01,JAM,XXX,XXX,2.0
2001-09-01,JAM,SCH,XXX,2.0
2001-09-01,JAM,SCH,EBE,1.0
2001-09-01,JAM,BIC,SCH,1.0
2001-09-01,JAM,SCH,BIC,1.0
2001-09-01,XXX,XXX,XXX,1.0
2001-09-01,EBE,XXX,XXX,16.0
2001-09-01,EBE,SCH,XXX,4.0
2001-09-01,EBE,JAM,XXX,3.0
2001-09-01,SCH,EBE,JAM,1.0
2001-09-01,EBE,JAM,BIC,1.0
2001-09-01,EBE,BIC,SCH,3.0
2001-09-01,EBE,BIC,JAM,1.0
2001-09-01,EBE,BIC,XXX,8.0
2001-09-01,SCH,JAM,BIC,9.0
2001-09-01,SCH,JAM,EBE,5.0
2001-09-01,SCH,JAM,XXX,10.0
2001-09-01,SCH,EBE,XXX,3.0
2001-09-01,SCH,EBE,BIC,5.0
2001-09-01,SCH,XXX,XXX,73.0
2001-09-01,EBE,"BRUCE CLARK, JR.",AMANDA CLARK,1.0
2001-09-01,SCH,BIC,MATTHEW GLADUE,1.0
2001-09-02,XXX,XXX,XXX,2.0
2001-09-02,XXX,XXX,XXX,2.0
2001-09-02,JAM,BIC,XXX,1.0
2001-09-02,JAM,BIC,EBE,1.0
2001-09-02,JAM,BIC,SCH,1.0
2001-09-02,JAM,SCH,EBE,1.0
2001-09-02,JAM,SCH,XXX,1.0
2001-09-02,EBE,SCH,JAM,1.0
2001-09-02,EBE,SCH,BIC,1.0
2001-09-02,EBE,JAM,SCH,1.0
2001-09-02,SCH,EBE,JAM,1.0
2001-09-02,EBE,BIC,JAM,2.0
2001-09-02,BIC,EBE,SCH,2.0
2001-09-02,BIC,SCH,EBE,3.0
2001-09-02,JAM,XXX,XXX,3.0
2001-09-02,BIC,JAM,EBE,3.0
2001-09-02,BIC,JAM,XXX,3.0
2001-09-02,SCH,EBE,BIC,3.0
2001-09-02,BIC,EBE,JAM,3.0
2001-09-02,JAM,SCH,BIC,4.0
2001-09-02,EBE,SCH,XXX,4.0
2001-09-02,SCH,EBE,XXX,4.0
2001-09-02,SCH,JAM,EBE,7.0
2001-09-02,BIC,JAM,SCH,8.0
2001-09-02,EBE,BIC,XXX,8.0
2001-09-02,BIC,EBE,XXX,11.0
2001-09-02,SCH,BIC,EBE,12.0
2001-09-02,SCH,JAM,XXX,15.0
2001-09-02,BIC,XXX,XXX,17.0
2001-09-02,SCH,JAM,BIC,21.0
2001-09-02,BIC,SCH,JAM,22.0
2001-09-02,BIC,SCH,XXX,28.0
2001-09-02,EBE,XXX,XXX,32.0
2001-09-02,SCH,BIC,JAM,36.0
2001-09-02,SCH,BIC,XXX,73.0
2001-09-02,SCH,XXX,XXX,141.0
2001-09-02,SCH,BIC,FREDERICK ANDREW OLSON,1.0
