W-P,First Choice,Second Choice,Third Choice,Count
06-03,AARON JANSON,XXX,XXX,1.0
02-01,ABOLISH THIS BOARD,SHARON SAYLES-BELTON,BOB HULTEEN,1.0
06-01,AL FLOWERS,XXX,XXX,1.0
13-03,ALAN THIEL,XXX,XXX,1.0
12-10,ALLEN BREWER,PAM VALTER,RIC STULTZ,1.0
12-02,ANN HAUEEJORDE,XXX,XXX,1.0
12-08,ANTHONY THOMPSON,XXX,XXX,1.0
01-10,B. BOOTH,S. AYRES,C. CARSON,1.0
06-04,BARACK OBAMA,XXX,XXX,1.0
04-06,BARBARA ATLAS,XXX,XXX,1.0
13-09,BATMAN,SUPERMAN,SPIDERMAN,1.0
09-09,BEC,ANTHONY WOCELLO,SWA,1.0
01-09,BEC,BEN JOHNSON,MARTY FUFKIN,1.0
11-05,BEC,BILL HELGESON,MATT FUGATE,1.0
12-03,BEC,BOB ERICKSON,XXX,1.0
13-06,BEC,CHRIS PETROSKAS,XXX,1.0
13-02,BEC,CLARE RITTON,JEROME RITTON,1.0
06-02,BEC,DANIEL SMITH,XXX,1.0
05-08,BEC,DAVID BOCKHATON,TOW,1.0
06-04,BEC,DE WAYNE,XXX,1.0
06-03,BEC,DOW CONSTANTINE,XXX,1.0
13-02,BEC,ELLEN YOUNG,SUSAN DIEM,1.0
11-02,BEC,ERICK GRAVATT,XXX,1.0
13-02,BEC,HENRY,XXX,1.0
03-04,BEC,JASON HOLDEN,MICHAEL TALBOT,1.0
09-04,BEC,JASON LEWIS,CATHERINE LUCAS,1.0
11-05,BEC,JOE COOL,YOUR MOM,1.0
09-02,BEC,JOHN CASE JR.,XXX,1.0
01-05,BEC,JOY ANDERSON,RON ANTHONY,1.0
13-08,BEC,JUDITH BAKER,XXX,1.0
01-08,BEC,JUSTYN SCHAEFER,XXX,1.0
13-06,BEC,KARL DAVID OLSON,D. JOSEPH CORBIN,1.0
08-08,BEC,LIZ MCLEMORE,JIM HOWITT,1.0
01-01,BEC,MACKENZIE TURNER,MARY CASSIDY,1.0
11-01,BEC,MAR,CATHERINE PETERS,1.0
05-08,BEC,MAR,DAVID BUCKHALTEN,1.0
05-02,BEC,MAR,JOHN HOFF,1.0
02-02,BEC,MAR,KEN R. KIENSE,1.0
12-08,BEC,MAR,OWEN SARTORI,1.0
09-07,BEC,MAR,SARAH LOBLEY,1.0
01-02,BEC,MAR,SWA,1.0
01-03,BEC,MAR,SWA,1.0
01-04,BEC,MAR,SWA,3.0
01-09,BEC,MAR,SWA,2.0
02-05,BEC,MAR,SWA,1.0
02-07,BEC,MAR,SWA,1.0
02-09,BEC,MAR,SWA,1.0
02-10,BEC,MAR,SWA,1.0
03-04,BEC,MAR,SWA,1.0
03-06,BEC,MAR,SWA,2.0
04-03,BEC,MAR,SWA,1.0
04-04,BEC,MAR,SWA,2.0
04-07,BEC,MAR,SWA,1.0
04-08,BEC,MAR,SWA,1.0
04-09,BEC,MAR,SWA,1.0
04-10,BEC,MAR,SWA,1.0
05-03,BEC,MAR,SWA,2.0
05-04,BEC,MAR,SWA,1.0
05-05,BEC,MAR,SWA,2.0
05-06,BEC,MAR,SWA,1.0
05-08,BEC,MAR,SWA,1.0
05-10,BEC,MAR,SWA,2.0
06-07,BEC,MAR,SWA,2.0
07-01,BEC,MAR,SWA,1.0
07-03,BEC,MAR,SWA,2.0
07-04,BEC,MAR,SWA,1.0
07-05,BEC,MAR,SWA,1.0
07-06,BEC,MAR,SWA,1.0
07-07,BEC,MAR,SWA,1.0
07-08,BEC,MAR,SWA,1.0
07-09,BEC,MAR,SWA,2.0
07-11,BEC,MAR,SWA,2.0
08-01,BEC,MAR,SWA,1.0
08-03,BEC,MAR,SWA,1.0
08-05,BEC,MAR,SWA,1.0
08-09,BEC,MAR,SWA,2.0
08-10,BEC,MAR,SWA,1.0
09-05,BEC,MAR,SWA,4.0
09-07,BEC,MAR,SWA,2.0
09-08,BEC,MAR,SWA,1.0
09-09,BEC,MAR,SWA,1.0
09-10,BEC,MAR,SWA,1.0
10-02,BEC,MAR,SWA,1.0
10-05,BEC,MAR,SWA,1.0
10-06,BEC,MAR,SWA,2.0
10-07,BEC,MAR,SWA,2.0
11-01,BEC,MAR,SWA,1.0
11-03,BEC,MAR,SWA,1.0
11-04,BEC,MAR,SWA,2.0
11-06,BEC,MAR,SWA,1.0
11-07,BEC,MAR,SWA,1.0
11-07,BEC,MAR,SWA,4.0
11-08,BEC,MAR,SWA,3.0
11-09,BEC,MAR,SWA,1.0
12-01,BEC,MAR,SWA,2.0
12-02,BEC,MAR,SWA,1.0
12-03,BEC,MAR,SWA,3.0
